city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Christchurch,2015-12-28,ODI,"{by={wickets=10}, winner=New Zealand}",50,[MJ Guptill],Hagley Oval,New Zealand,New Zealand, Sri Lanka,bat
Nelson,2015-12-31,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[MD Gunathilaka],Saxton Oval,Sri Lanka,New Zealand, New Zealand,bat
Nelson,2016-01-02,ODI,{result=no result},50,,Saxton Oval,no result,New Zealand, Sri Lanka,field
Mount Maunganui,2016-01-05,ODI,"{by={runs=36}, winner=New Zealand}",50,[MJ Henry],Bay Oval,New Zealand,New Zealand, Sri Lanka,field
Mount Maunganui,2016-01-07,T20,"{by={runs=3}, winner=New Zealand}",20,[TA Boult],Bay Oval,New Zealand,New Zealand, Sri Lanka,field
Auckland,2016-01-10,T20,"{by={wickets=9}, winner=New Zealand}",20,[C Munro],Eden Park,New Zealand,New Zealand, New Zealand,field
,"2015-10-14, 2015-10-15, 2015-10-16, 2015-10-17",Test,"{by={innings=1, runs=6}, winner=Sri Lanka}",,[HMRKB Herath],Galle International Stadium,Sri Lanka, West Indies, Sri Lanka,bat
Colombo,"2015-10-22, 2015-10-23, 2015-10-24, 2015-10-25, 2015-10-26",Test,"{by={runs=72}, winner=Sri Lanka}",,[TAM Siriwardana],P Sara Oval,Sri Lanka, West Indies, Sri Lanka,bat
Colombo,2015-11-01,ODI,"{by={wickets=1}, method=D/L, winner=Sri Lanka}",50,[TM Dilshan],R Premadasa Stadium,Sri Lanka, West Indies, Sri Lanka,field
Colombo,2015-11-04,ODI,"{by={wickets=8}, method=D/L, winner=Sri Lanka}",50,[MDKJ Perera],R Premadasa Stadium,Sri Lanka, West Indies, West Indies,bat
,2015-11-07,ODI,"{by={runs=19}, method=D/L, winner=Sri Lanka}",50,[MN Samuels],Pallekele International Cricket Stadium,Sri Lanka, West Indies, Sri Lanka,field
,2015-11-09,T20,"{by={runs=30}, winner=Sri Lanka}",20,[SMSM Senanayake],Pallekele International Cricket Stadium,Sri Lanka, West Indies, West Indies,field
Colombo,2015-11-11,T20,"{by={runs=23}, winner=West Indies}",20,[DJ Bravo],R Premadasa Stadium,West Indies, West Indies, West Indies,bat
Lincoln,2015-11-03,ODI,"{by={runs=96}, winner=New Zealand}",50,,Bert Sutcliffe Oval,New Zealand,New Zealand, Sri Lanka,field
Lincoln,2015-11-05,ODI,"{by={wickets=10}, winner=New Zealand}",50,,Bert Sutcliffe Oval,New Zealand,New Zealand, New Zealand,field
Port Elizabeth,"2016-12-26, 2016-12-27, 2016-12-28, 2016-12-29, 2016-12-30",Test,"{by={runs=206}, winner=South Africa}",,[SC Cook],St George's Park,South Africa,South Africa, South Africa,bat
Cape Town,"2017-01-02, 2017-01-03, 2017-01-04, 2017-01-05",Test,"{by={runs=282}, winner=South Africa}",,[K Rabada],Newlands,South Africa,South Africa, Sri Lanka,field
Johannesburg,"2017-01-12, 2017-01-13, 2017-01-14",Test,"{by={innings=1, runs=118}, winner=South Africa}",,[JP Duminy],New Wanderers Stadium,South Africa,South Africa, South Africa,bat
Centurion,2017-01-20,T20,"{by={runs=19}, winner=South Africa}",20,[L Ngidi],SuperSport Park,South Africa,South Africa, Sri Lanka,field
Johannesburg,2017-01-22,T20,"{by={wickets=3}, winner=Sri Lanka}",20,[AD Mathews],New Wanderers Stadium,Sri Lanka,South Africa, South Africa,bat
Cape Town,2017-01-25,T20,"{by={wickets=5}, winner=Sri Lanka}",20,[N Dickwella],Newlands,Sri Lanka,South Africa, South Africa,bat
Port Elizabeth,2017-01-28,ODI,"{by={wickets=8}, winner=South Africa}",50,[Imran Tahir],St George's Park,South Africa,South Africa, South Africa,field
Durban,2017-02-01,ODI,"{by={runs=121}, winner=South Africa}",50,[F du Plessis],Kingsmead,South Africa,South Africa, Sri Lanka,field
Johannesburg,2017-02-04,ODI,"{by={wickets=7}, winner=South Africa}",50,[D Pretorius],New Wanderers Stadium,South Africa,South Africa, South Africa,field
Cape Town,2017-02-07,ODI,"{by={runs=40}, winner=South Africa}",50,[F du Plessis],Newlands,South Africa,South Africa, South Africa,bat
Centurion,2017-02-10,ODI,"{by={runs=88}, winner=South Africa}",50,[HM Amla],SuperSport Park,South Africa,South Africa, Sri Lanka,field
Kolkata,2016-03-17,T20,"{by={wickets=6}, winner=Sri Lanka}",20,[TM Dilshan],Eden Gardens,Sri Lanka,Afghanistan, Afghanistan,bat
Bangalore,2016-03-20,T20,"{by={wickets=7}, winner=West Indies}",20,[ADS Fletcher],M Chinnaswamy Stadium,West Indies, West Indies, West Indies,field
Delhi,2016-03-26,T20,"{by={runs=10}, winner=England}",20,[JC Buttler],Feroz Shah Kotla,England,England, Sri Lanka,field
Delhi,2016-03-28,T20,"{by={wickets=8}, winner=South Africa}",20,[AM Phangiso],Feroz Shah Kotla,South Africa,South Africa, South Africa,field
Delhi,2016-03-15,T20,"{by={wickets=7}, winner=New Zealand}",20,[SW Bates],Feroz Shah Kotla,New Zealand,New Zealand, Sri Lanka,bat
Mohali,2016-03-20,T20,"{by={runs=14}, winner=Sri Lanka}",20,[CJ Metcalfe],"Punjab Cricket Association IS Bindra Stadium, Mohali",Sri Lanka, Ireland, Sri Lanka,bat
Delhi,2016-03-24,T20,"{by={wickets=9}, winner=Australia}",20,[EJ Villani],Feroz Shah Kotla,Australia,Australia, Sri Lanka,bat
Bangalore,2016-03-28,T20,"{by={runs=10}, winner=Sri Lanka}",20,[AC Jayangani],M Chinnaswamy Stadium,Sri Lanka,South Africa, Sri Lanka,bat
Pune,2016-02-09,T20,"{by={wickets=5}, winner=Sri Lanka}",20,[CAK Rajitha],Maharashtra Cricket Association Stadium,Sri Lanka,India, Sri Lanka,field
Ranchi,2016-02-12,T20,"{by={runs=69}, winner=India}",20,[S Dhawan],JSCA International Stadium Complex,India,India, Sri Lanka,field
Visakhapatnam,2016-02-14,T20,"{by={wickets=9}, winner=India}",20,[R Ashwin],Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,India, India,field
Mirpur,2016-02-25,T20,"{by={runs=14}, winner=Sri Lanka}",20,[SL Malinga],Shere Bangla National Stadium,Sri Lanka, United Arab Emirates, United Arab Emirates,field
Mirpur,2016-02-28,T20,"{by={runs=23}, winner=Bangladesh}",20,[Sabbir Rahman],Shere Bangla National Stadium,Bangladesh,Bangladesh, Bangladesh,bat
Mirpur,2016-03-01,T20,"{by={wickets=5}, winner=India}",20,[V Kohli],Shere Bangla National Stadium,India,India, India,field
Mirpur,2016-03-04,T20,"{by={wickets=6}, winner=Pakistan}",20,[Umar Akmal],Shere Bangla National Stadium,Pakistan,Pakistan, Pakistan,field
,"2016-07-26, 2016-07-27, 2016-07-28, 2016-07-29, 2016-07-30",Test,"{by={runs=106}, winner=Sri Lanka}",,[BKG Mendis],Pallekele International Cricket Stadium,Sri Lanka, Australia, Sri Lanka,bat
,"2016-08-04, 2016-08-05, 2016-08-06",Test,"{by={runs=229}, winner=Sri Lanka}",,[MDK Perera],Galle International Stadium,Sri Lanka, Australia, Sri Lanka,bat
Colombo,"2016-08-13, 2016-08-14, 2016-08-15, 2016-08-16, 2016-08-17",Test,"{by={runs=163}, winner=Sri Lanka}",,[HMRKB Herath],Sinhalese Sports Club Ground,Sri Lanka, Australia, Sri Lanka,bat
Colombo,2016-08-21,ODI,"{by={wickets=3}, winner=Australia}",50,[JP Faulkner],R Premadasa Stadium,Australia, Australia, Australia,field
Colombo,2016-08-24,ODI,"{by={runs=82}, winner=Sri Lanka}",50,[AD Mathews],R Premadasa Stadium,Sri Lanka, Australia, Sri Lanka,bat
,2016-08-28,ODI,"{by={wickets=2}, winner=Australia}",50,[GJ Bailey],Rangiri Dambulla International Stadium,Australia, Australia, Sri Lanka,bat
,2016-08-31,ODI,"{by={wickets=6}, winner=Australia}",50,[JW Hastings],Rangiri Dambulla International Stadium,Australia, Australia, Sri Lanka,bat
,2016-09-01,ODI,"{by={wickets=5}, winner=Australia}",50,[DA Warner],Pallekele International Cricket Stadium,Australia, Australia, Sri Lanka,bat
,2016-09-06,T20,"{by={runs=85}, winner=Australia}",20,[GJ Maxwell],Pallekele International Cricket Stadium,Australia, Australia, Sri Lanka,field
Colombo,2016-09-09,T20,"{by={wickets=4}, winner=Australia}",20,[GJ Maxwell],R Premadasa Stadium,Australia, Australia, Sri Lanka,bat
