city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Wellington,2006-12-22,T20,"{by={runs=18}, method=D/L, winner=Sri Lanka}",20,[ST Jayasuriya],Westpac Stadium,Sri Lanka,New Zealand, New Zealand,bat
Auckland,2006-12-26,T20,"{by={wickets=5}, winner=New Zealand}",20,[JEC Franklin],Eden Park,New Zealand,New Zealand, New Zealand,field
Napier,2006-12-28,ODI,"{by={wickets=7}, winner=Sri Lanka}",50,[ST Jayasuriya],McLean Park,Sri Lanka,New Zealand, New Zealand,bat
Christchurch,2007-01-02,ODI,"{by={wickets=4}, method=D/L, winner=New Zealand}",50,[MJ Mason],Jade Stadium,New Zealand,New Zealand, New Zealand,field
Auckland,2007-01-06,ODI,"{by={runs=189}, winner=Sri Lanka}",50,[ST Jayasuriya],Eden Park,Sri Lanka,New Zealand, Sri Lanka,bat
Colombo,"2006-08-18, 2006-08-19",ODI,{result=no result},50,,Sinhalese Sports Club Ground,no result, India, India,bat
Kolkata,2007-02-08,ODI,{result=no result},50,,Eden Gardens,no result,India, India,field
Rajkot,2007-02-11,ODI,"{by={runs=5}, winner=Sri Lanka}",50,[KC Sangakkara],Madhavrao Scindia Cricket Ground,Sri Lanka,India, India,field
Visakhapatnam,2007-02-17,ODI,"{by={wickets=7}, winner=India}",50,[LPC Silva],Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,India,India, India,field
Margao,2007-02-14,ODI,"{by={wickets=5}, winner=India}",50,[Z Khan],"Nehru Stadium, Fatorda",India,India, Sri Lanka,bat
Johannesburg,2007-09-14,T20,"{by={runs=172}, winner=Sri Lanka}",20,[ST Jayasuriya],New Wanderers Stadium,Sri Lanka,Kenya, Kenya,field
Johannesburg,2007-09-15,T20,"{by={wickets=7}, winner=Sri Lanka}",20,[ST Jayasuriya],New Wanderers Stadium,Sri Lanka,New Zealand, New Zealand,bat
Johannesburg,2007-09-17,T20,"{by={runs=33}, winner=Pakistan}",20,[Younis Khan],New Wanderers Stadium,Pakistan,Pakistan, Sri Lanka,field
Johannesburg,2007-09-18,T20,"{by={runs=64}, winner=Sri Lanka}",20,[CRD Fernando],New Wanderers Stadium,Sri Lanka,Bangladesh, Bangladesh,field
Cape Town,2007-09-20,T20,"{by={wickets=10}, winner=Australia}",20,[SR Clark],Newlands,Australia,Australia, Australia,field
,2007-10-01,ODI,"{by={runs=119}, winner=Sri Lanka}",50,[MF Maharoof],Rangiri Dambulla International Stadium,Sri Lanka, England, Sri Lanka,bat
,2007-10-04,ODI,"{by={runs=65}, winner=England}",50,[OA Shah],Rangiri Dambulla International Stadium,England, England, England,bat
Colombo,2007-10-10,ODI,"{by={wickets=5}, winner=England}",50,[AN Cook],R Premadasa Stadium,England, England, Sri Lanka,bat
Colombo,2007-10-13,ODI,"{by={runs=107}, winner=Sri Lanka}",50,[CRD Fernando],R Premadasa Stadium,Sri Lanka, England, Sri Lanka,bat
Brisbane,2008-02-05,ODI,{result=no result},50,,"Brisbane Cricket Ground, Woolloongabba",no result,India, India,bat
,2008-02-08,ODI,"{by={runs=128}, winner=Australia}",50,[NW Bracken],Sydney Cricket Ground,Australia,Australia, Australia,bat
